FORMABLE NATION LIST
Abyssinia						(Eritrea or Ethiopia)
Africa							(any African country)
Afro-Eurasia					(any Afro-Eurasian country)
Alpine Federation				(Austria or Switzerland)
Americas						(any American country)
Andes							(Bolivia, Colombia, Ecuador or Peru)
Angevin Empire					(United Kingdom/England)
Anglosphere						(United Kingdom/England, Wales, Scotland, Northern Ireland, Ireland, Canada, United States, Australia or New Zealand)
Arabia							(Saudi Arabia, Yemen, Oman, Iraq, Lebanon, Syria, Jordan, Palestine, Kuwait, United Arab Emirates, Qatar or Kurdistan)
Asia							(any Asian country)
Assyria							(Iraq, Syria or Kurdistan)
Australasia						(Australia, New Zealand or Papua New Guinea)
Austria-Hungary					(Austria or Hungary)
Balkans							(Albania, Greece, Yugoslavia, Bulgaria, Croatia, Serbia, Montenegro, Macedonia, Slovenia or Bosnia)
Baltic States					(Lithuania, Latvia or Estonia)
Benelux							(Netherlands, Belgium or Luxembourg)
Bengal Empire					(Bangladesh)
Bulgarian Empire				(Bulgaria)
Byzantium						(Greece)
Caribbean						(Dominican Republic, Haiti, Cuba, Jamaica, Bahamas, Puerto Rico, Curaçao, Trinidad and Tobago, British Antilles or Guadeloupe)
Carpathia						(Hungary, Slovakia, Romania or Moldova)
Carthage						(Tunisia)
Celtic Union					(Ireland, Northern Ireland, Scotland, Wales or Brittany)
Central America					(Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica or Belize)
Chile-Argentina					(Chile or Argentina)
China							(any Chinese warlord)
Chinese Empire					(any Chinese country)
Commonwealth					(Poland or Lithuania)
East Africa						(Tanzania, Kenya, Uganda, Rwanda or Burundi)
Eurasia							(any Eurasian country)
Europe							(any European country)
Frankish Empire					(France or Germany)
Golden Circle					(United States, Confederate States or Mexico)
Gran Colombia					(Colombia or Venezuela)
Greater Albania					(Albania)
Greater Austria					(Austria)
Greater Canada					(Canada)
Greater Croatia					(Croatia)
Greater Egypt					(Egypt)
Greater Finland					(Finland)
Greater Israel					(Israel)
Greater Japan					(Japan)
Greater Korea					(Korea)
Grand Duchy of Lithuania		(Lithuania)
Greater Russian Empire			(Russia)
Greater Serbia					(Serbia)
Greater Tibet					(Tibet)
Greater Yugoslavia				(Yugoslavia)
United British Isles			(United Kingdom/England)
Great Moravia					(Czechia or Slovakia)
Großdeutschland					(Germany or Austria)
United Guyana					(Guyana, Suriname or Cayenne)
Hispaniola						(Haiti or Dominican Republic)
Holy Roman Empire				(Germany, Austria, Czechia, Netherlands, Belgium, Luxembourg, Switzerland, Italy or Hungary)
Hungarian Kingdom				(Hungary)
Iberia							(Spain, Portugal, Galicia, Basque Country or Catalonia)
Inca Empire						(Peru)
Indochina						(Thailand/Siam, Laos, Vietnam, Cambodia or Burma/Myanmar)
Khmer Empire					(Cambodia)
Kievan Rus'						(Ukraine or Belarus)
Latin Union						(France, Italy, Spain, Portugal, Romania, Moldova, Galicia, Catalonia, Occitania or Corsica)
La Plata						(Bolivia, Argentina, Uruguay or Paraguay)
Levant							(Syria, Lebanon, Palestine or Jordan)
Macedonian Empire				(Greece or Macedonia)
Maghreb							(Lybia, West Sahara, Morocco, Algeria or Tunisia)
Mali Empire						(Mali)
Mexican Empire					(Mexico)
Middle East						(any Middle Eastern country)
Mongol Empire					(Mongolia or Tannu Tuva)
Mughal Empire					(Afghanistan or Pakistan)
North America					(any North American country)
North Sea Empire				(England, Denmark or Norway)
Ottoman Empire					(Turkey)
Persian Empire					(Iran/Persia or Tajikistan)
Peru-Bolivia					(Peru or Bolivia)
Poland-Hungary					(Poland or Hungary)
Roman Empire					(Italy, Greece, Spain, Portugal, France, Romania, Moldova, Brittany, Galicia, Catalonia or Basque Country)
Sahel							(Mauritania, Mali, Niger, Chad or Sudan)
Scandinavia						(Denmark, Sweden or Norway)
South America					(any South American country)
Swedish Empire					(Sweden)
Transcaucasia					(Armenia, Georgia or Azerbaijan)
Turan							(Kazakhstan, Turkey, Sinkiang/East Turkestan, Tannu Tuva, Azerbaijan, Turkmenistan, Uzbekistan or Kyrgyzstan)
Visegrad						(Poland, Czechia, Slovakia or Hungary)
The World						(any country)
